2026-06-08 21:34:06,607 | INFO | Search query: 2026 公共基础知识综合卷
2026-06-08 21:34:06,607 | WARNING | Search failed 2026 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:34:06,607 | INFO | Search query: 2026 中职学考公共基础数学
2026-06-08 21:34:06,607 | WARNING | Search failed 2026 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:34:06,608 | INFO | Search query: 2026 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:34:06,608 | WARNING | Search failed 2026 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:34:06,608 | INFO | Search query: 2026 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:34:06,608 | WARNING | Search failed 2026 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:34:06,614 | INFO | Output /Users/greenbarry/Documents/Codex/2026-06-08/files-mentioned-by-the-user-11/outputs/fj_zhongzhi_public_math_project/data/processed/xiamen_public_basic_sources.xlsx with 8 rows
2026-06-08 21:35:22,850 | INFO | Start crawling Xiamen public basic papers
2026-06-08 21:35:22,850 | INFO | Search query: 2022 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:35:22,859 | WARNING | Search failed 2022 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,859 | INFO | Search query: 2022 公共基础知识综合卷
2026-06-08 21:35:22,859 | WARNING | Search failed 2022 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,860 | INFO | Search query: 2022 中职学考公共基础数学
2026-06-08 21:35:22,860 | WARNING | Search failed 2022 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,860 | INFO | Search query: 2022 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:35:22,860 | WARNING | Search failed 2022 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,860 | INFO | Search query: 2022 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:35:22,861 | WARNING | Search failed 2022 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,861 | INFO | Search query: 2023 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:35:22,861 | WARNING | Search failed 2023 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,861 | INFO | Search query: 2023 公共基础知识综合卷
2026-06-08 21:35:22,861 | WARNING | Search failed 2023 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,862 | INFO | Search query: 2023 中职学考公共基础数学
2026-06-08 21:35:22,862 | WARNING | Search failed 2023 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,862 | INFO | Search query: 2023 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:35:22,862 | WARNING | Search failed 2023 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,862 | INFO | Search query: 2023 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:35:22,863 | WARNING | Search failed 2023 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,863 | INFO | Search query: 2024 厦门市中等职业学校学业水平考试 公共基础
2026-06-08 21:35:22,863 | WARNING | Search failed 2024 厦门市中等职业学校学业水平考试 公共基础: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,863 | INFO | Search query: 2024 公共基础知识综合卷
2026-06-08 21:35:22,864 | WARNING | Search failed 2024 公共基础知识综合卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,864 | INFO | Search query: 2024 中职学考公共基础数学
2026-06-08 21:35:22,864 | WARNING | Search failed 2024 中职学考公共基础数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,864 | INFO | Search query: 2024 厦门 中职 公共基础 模拟卷 数学
2026-06-08 21:35:22,865 | WARNING | Search failed 2024 厦门 中职 公共基础 模拟卷 数学: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,865 | INFO | Search query: 2024 厦门市 中职 学考 公共基础知识 模拟试卷
2026-06-08 21:35:22,865 | WARNING | Search failed 2024 厦门市 中职 学考 公共基础知识 模拟试卷: <urlopen error [Errno 8] nodename nor servname provided, or not known>
2026-06-08 21:35:22,865 | INFO | Search query: 2025 厦门市中等职业学校学业水平考试 公共基础
